Model,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20,MRR
Final,0.00858321870701513,0.005364487577778027,0.015106602475928474,0.007483575871416676,0.028461141678129298,0.010818313109794787,0.01069450877007658
Referencia,0.006830601092896175,0.0040279496990429245,0.01366120218579235,0.006207048457339813,0.0273224043715847,0.00961785290858459,0.009725504096144495
Pop. Baseline,0.0068775790921595595,0.004115932420520279,0.012379642365887207,0.005851512731215768,0.026134800550206328,0.009244523657958177,0.009730028043075609
